ids,release_date,writers,stars,runtime_mins
tt4520988,2019-11-20,"Jennifer Lee, Chris Buck, Kristen Anderson-Lopez, Robert Lopez, Marc Smith, Allison Schroeder","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff",103
tt2762506,2019-08-29,"Kleber Mendonça Filho, Juliano Dornelles","Bárbara Colen, Thomas Aquino, Silvero Pereira, Thardelly Lima",131
tt10199640,2019-06-20,"Kantemir Balagov, Aleksandr Terekhov","Viktoria Miroshnichenko, Vasilisa Perelygina, Andrey Bykov, Igor Shirokov",130
tt9351980,2019-08-21,,"Junming 'Jimmy' Wang, Robert Allen, Sherrod Brown, Dave Burrows",110
tt7549996,2019-09-27,"Tom Edge, Peter Quilter","Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell",118
tt3224458,2019-11-22,"Micah Fitzerman-Blue, Noah Harpster, Tom Junod","Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson",109
tt6398184,2019-09-12,Julian Fellowes,"Matthew Goode, Michelle Dockery, Joanne Froggatt, Maggie Smith",122
tt5827916,2019-12-11,Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon, Karin Neuhäuser",174
tt8404614,2019-12-05,Anthony McCarten,"Anthony Hopkins, Jonathan Pryce, Juan Minujín, Luis Gnecco",125
tt8579674,2020-01-02,"Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",119
tt8721556,2019-10-04,"R. Jayakumar, Hareesh S.","Antony Varghese, Chemban Vinod Jose, Sabumon Abdusamad, Santhy Balachandran",95
tt4068576,2019-01-31,Jennifer Kent,"Aisling Franciosi, Sam Claflin, Michael Sheasby, Claire Jones",136
tt4154796,2019-04-24,"Christopher Markus, Stephen McFeely, Stan Lee, Jack Kirby, Joe Simon, Steve Englehart, Steve Gan, Bill Mantlo, Keith Giffen, Jim Starlin, Larry Lieber, Don Heck","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",181
tt5431890,2019-08-30,"Gregory Bernstein, Sara Bernstein, Gavin Hood, Marcia Mitchell, Thomas Mitchell","Keira Knightley, Matt Smith, Matthew Goode, Rhys Ifans",112
tt10687158,2019-10-25,,"Patti Scialfa, Bruce Springsteen",83
tt5461944,2019-03-14,"John Collee, Anthony Maras","Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher",123
tt6324278,2019-09-19,Jill Culton,"Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Joseph Izzo",97
tt6062774,2019-08-15,"Alejandro Landes, Alexis Dos Santos","Sofia Buenaventura, Julián Giraldo, Karen Quintero, Laura Castrillón",102
tt8613070,2019-09-18,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino",122
tt8760684,2019-03-01,,"Neil Armstrong, Michael Collins, Buzz Aldrin, Deke Slayton",93
tt1979376,2019-06-20,"John Lasseter, Andrew Stanton, Josh Cooley, Valerie LaPointe, Rashida Jones, Will McCormack, Martin Hynes, Stephany Folsom","Tom Hanks, Tim Allen, Annie Potts, Tony Hale",100
tt0385887,2019-10-30,"Jonathan Lethem, Edward Norton","Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Bobby Cannavale",144
tt8291806,2019-03-22,Pedro Almodóvar,"Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia, Nora Navas",113
tt5593384,2019-02-22,"Anton Hansen Tammsaare, Tanel Toom","Priit Loog, Ester Kuntu, Priit Võigemast, Maiken Schmidt",149
tt8378126,2019-03-28,"Maren Louise Käehne, May el-Toukhy","Trine Dyrholm, Gustav Lindh, Magnus Krepper, Liv Esmår Dannemann",127
tt5727208,2019-12-25,"Ronald Bronstein, Josh Safdie, Benny Safdie","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo",135
tt9806192,2019-11-06,"Jérémy Clapin, Guillaume Laurant","Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Alfonso Arfi",81
tt9243946,2019-10-11,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker",122
tt1302006,2019-11-14,"Steven Zaillian, Charles Brandt","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",209
tt7616148,2019-08-23,"J.C. Lee, Julius Onah","Naomi Watts, Octavia Spencer, Tim Roth, Kelvin Harrison Jr.",109
tt8652728,2019-11-15,Trey Edward Shults,"Taylor Russell, Kelvin Harrison Jr., Alexa Demie, Bill Wise",135
tt7798634,2019-08-21,"Guy Busick, R. Christopher Murphy","Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny",95
tt9426210,2019-07-19,Makoto Shinkai,"Kotaro Daigo, Nana Mori, Shun Oguri, Sei Hiraizumi",112
tt6146586,2019-05-15,"Derek Kolstad, Shay Hatten, Chris Collins, Marc Abrams","Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne",131
tt6513120,2019-02-21,Stephen Merchant,"Dwayne Johnson, Lena Headey, Vince Vaughn, Florence Pugh",108
tt4729430,2019-11-08,"Sergio Pablos, Jim Mahoney, Zach Lewis","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",96
tt7016254,2019-02-28,"Nadav Lapid, Haim Lapid","Tom Mercier, Quentin Dolmaire, Louise Chevillotte, Uria Hayik",123
tt2076298,2019-12-19,"Tai-lee Chan, Hiroshi Fukazawa, Lai-Yin Leung, Edmond Wong","Donnie Yen, Scott Adkins, Danny Chan Kwok-Kwan, Vanness Wu",107
tt3513548,2019-12-13,"Billy Ray, Marie Brenner, Kent Alexander, Kevin Salwen","Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz",131
tt6390668,2019-09-12,"Murilo Hauser, Inés Bortagaray, Karim Aïnouz, Martha Batalha","Julia Stockler, Carol Duarte, Flávia Gusmão, António Fonseca",139
tt5606664,2019-10-30,"Stephen King, Mike Flanagan","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis",152
tt4353250,2019-06-07,"Jimmie Fails, Joe Talbot, Rob Richert, Emma Nicholls, Fritzi Adelman","Jimmie Fails, Jonathan Majors, Rob Morgan, Tichina Arnold",121
tt2139881,2019-05-01,"Dan Sterling, Liz Hannah","Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr.",125
tt6320628,2019-06-28,"Chris McKenna, Erik Sommers, Stan Lee, Steve Ditko","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei",129
tt8413338,2019-02-07,Syam Pushkaran,"Shane Nigam, Soubin Shahir, Fahadh Faasil, Sreenath Bhasi",135
tt10199586,2019-10-02,"Mati Diop, Olivier Demangel","Mame Bineta Sane, Amadou Mbow, Traore, Nicole Sougou",106
tt9652782,2019-08-30,Mark Jenkin,"Edward Rowe, Mary Woodvine, Simon Shepherd, Giles King",89
tt6857112,2019-03-20,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker",116
tt2935510,2019-09-18,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland",123
tt7984734,2019-10-18,"Robert Eggers, Max Eggers","Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",109
tt2395469,2019-02-14,"Zoya Akhtar, Reema Kagti, Vijay Maurya","Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz",153
tt10228168,2019-09-27,Masa Nakamura,"Becky, Bengal, Masayuki Deai, Mami Fujioka",108
tt7131622,2019-07-24,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",161
tt2584384,2019-10-24,"Taika Waititi, Christine Leunens","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi",108
tt10199590,2019-11-14,"Ladj Ly, Giordano Gederlini, Alexis Manenti","Damien Bonnard, Alexis Manenti, Djebril Zonga, Issa Perica",104
tt2066051,2019-05-17,Lee Hall,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard",121
tt6920356,2019-08-30,Joanna Hogg,"Neil Young, Tosin Cole, Jack McMullen, Frankie Wilson",120
tt6063090,2019-08-09,Casey Affleck,"Anna Pniowsky, Casey Affleck, Tom Bower, Elisabeth Moss",119
tt10915286,2019-10-18,,"Andrew Caley, Alex Lewis, Marcus Lewis, Evan Milton",85
tt8193790,2019-06-19,Quentin Dupieux,"Jean Dujardin, Adèle Haenel, Albert Delpy, Coralie Russier",77
tt7653254,2019-11-28,Noah Baumbach,"Adam Driver, Scarlett Johansson, Alan Alda, Azhy Robertson",137
tt2386490,2019-01-03,"Dean DeBlois, Cressida Cowell","Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett",104
tt8879946,2019-03-08,,"Frank Bough, John Chittenden, Bruno Du Bois, Pat Edwards",97
tt8946378,2019-11-27,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis",131
tt9071322,2019-11-27,"Nathaniel Rich, Mario Correa, Matthew Michael Carnahan","Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",126
tt9412098,2019-01-18,,"Billy McFarland, Jason Bell, Gabrielle Bluestone, Shiyuan Deng",97
tt0448115,2019-04-02,"Henry Gayden, Darren Lemke, Bill Parker, C.C. Beck","Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",132
tt8236336,2019-11-07,Scott Z. Burns,"Adam Driver, Annette Bening, Jon Hamm, Ted Levine",119
tt8923482,2019-08-09,,"Nanfu Wang, Zaodi Wang, Zhimei Wang, Tunde Wang",88
tt5952594,2019-06-19,"Mona Fastvold, Brock Norman Brock, Laure de Clermont-Tonnerre","Matthias Schoenaerts, Jason Mitchell, Bruce Dern, Gideon Adlon",96
tt9617456,2019-07-26,,"Waad Al-Kateab, Hamza Al-Khateab, Sama Al-Khateab",100
tt8359816,2019-10-23,Paul Laverty,"Kris Hitchen, Debbie Honeywood, Rhys Stone, Katie Proctor",101
tt5116302,2019-12-20,Tom Flynn,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer",113
tt7339248,2019-07-19,Riley Stearns,"Jesse Eisenberg, Alessandro Nivola, Imogen Poots, Steve Terada",104
tt3281548,2019-12-24,"Greta Gerwig, Louisa May Alcott","Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen",135
tt7984766,2019-10-11,"Joel Edgerton, David Michôd","Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley",140
tt8266310,2019-08-09,"Sarfraz Manzoor, Gurinder Chadha, Paul Mayeda Berges, Bruce Springsteen","Billy Barratt, Ronak Singh Chadha Berges, Viveik Kalra, Lee Barnett",118
tt8535968,2019-09-19,Nora Fingscheidt,"Helena Zengel, Albrecht Schuch, Gabriela Maria Schmeide, Lisa Hagmeister",118
tt8991268,2019-07-26,"Tamara Kotevska, Ljubomir Stefanov","Hatidze Muratova, Nazife Muratova, Hussein Sam, Ljutvie Sam",89
tt8722346,2019-11-27,"Lena Waithe, James Frey","Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny",132
tt6817944,2019-11-15,Roy Andersson,"Bengt Bergius, Anja Broms, Marie Burman, Amanda Davies",78
tt8963708,2019-09-13,Levan Akin,"Levan Gelbakhiani, Bachi Valishvili, Ana Javakishvili, Kakha Gogidze",113
tt6328046,2019-05-15,Steven Leckart,"Bill Cosby, Diana Ross, Jim Brown, Kareem Abdul-Jabbar",165
tt0437086,2019-02-05,"James Cameron, Laeta Kalogridis, Yukito Kishiro","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",122
tt7019942,2019-03-28,"Thiagarajan Kumararaja, Nalan Kumarasamy, Myshkin, Sekar Neelan","Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan",176
tt5433114,2019-06-14,,"Pelé, Diego Armando Maradona, Dalma Maradona, Claudia Villafañe",130
tt6348138,2019-04-04,Chris Butler,"Hugh Jackman, David Walliams, Stephen Fry, Matt Lucas",93
tt6751668,2019-05-30,"Bong Joon Ho, Jin Won Han","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi",132
tt1489887,2019-05-24,"Emily Halpern, Sarah Haskins, Susanna Fogel, Katie Silberman","Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",102
tt7286456,2019-10-01,"Todd Phillips, Scott Silver, Bob Kane, Bill Finger, Jerry Robinson","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",122
tt7533152,2019-03-01,"Chiwetel Ejiofor, William Kamkwamba, Bryan Mealer","Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo, Robert Agengo",113
tt4364194,2019-08-23,"Tyler Nilson, Michael Schwartz","Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern",97
tt9358204,2019-07-24,"Karim Amer, Erin Barnett, Pedro Kos","Brittany Kaiser, David Carroll, Paul-Olivier Dehaye, Ravi Naik",114
tt1950186,2019-11-13,"Jez Butterworth, John-Henry Butterworth, Jason Keller","Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe",152
tt8526872,2019-10-11,"Scott Alexander, Larry Karaszewski","Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson",118
tt8637428,2019-08-09,Lulu Wang,"Shuzhen Zhao, Awkwafina, X Mayo, Hong Lu",100
tt8772262,2019-07-03,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper",148
tt8041276,2019-02-22,"Mark Duplass, Alex Lehmann","Christine Woods, Mark Duplass, Ray Romano, Jen Sung",89
tt9358044,2019-04-17,,"Jex Blackmore, Chalice Blythe, Nicholas Crowe, Sal De Ciccio",95
tt5503686,2019-09-12,"Lorene Scafaria, Jessica Pressler","Constance Wu, Jennifer Lopez, Julia Stiles, Mette Towley",110
tt3846674,2018-08-17,"Sofia Alvarez, Jenny Han","Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart",99
tt5848272,2018-11-21,"Phil Johnston, Pamela Ribon, Rich Moore, Jim Reardon, Josie Trinidad","John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson",112
tt6628394,2018-10-05,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm",141
tt1213641,2018-10-10,"Josh Singer, James R. Hansen","Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler",141
tt5758778,2018-07-11,Rawson Marshall Thurber,"Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller",102
tt1727824,2018-10-24,"Anthony McCarten, Peter Morgan","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",134
tt5028340,2018-12-19,"P.L. Travers, David Magee, Rob Marshall, John DeLuca","Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",130
tt7668870,2018-08-08,"Aneesh Chaganty, Sev Ohanian","John Cho, Debra Messing, Joseph Lee, Michelle La",102
tt5814060,2018-09-05,"Gary Dauberman, James Wan","Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",96
tt1365519,2018-03-07,"Geneva Robertson-Dworet, Alastair Siddons, Evan Daugherty, Susan O'Connor, Rhianna Pratchett","Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu",119
tt6857166,2018-05-17,"Bill Holderman, Erin Simms","Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen",104
tt1620680,2018-03-08,"Jennifer Lee, Jeff Stockwell, Madeleine L'Engle","Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling",109
tt7334528,2018-06-27,Jay Longino,"Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Chris Webber",103
tt4477536,2018-02-07,"Niall Leonard, E.L. James","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",105
tt6998518,2018-09-13,"Panos Cosmatos, Aaron Stewart-Ahn, Chris 'Casper' Kelly","Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",121
tt3606756,2018-06-13,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",118
tt6791096,2018-04-19,"Abby Kohn, Marc Silverstein","Amy Schumer, Michelle Williams, Emily Ratajkowski, Tom Hopper",110
tt1464763,2018-02-23,"Michael Robert Johnson, Duncan Jones","Alexander Skarsgård, Paul Rudd, Justin Theroux, Levi Eisenblätter",126
tt1517451,2018-10-03,"Eric Roth, Bradley Cooper, Will Fetters, Moss Hart, John Gregory Dunne, Joan Didion, Frank Pierson, William A. Wellman, Robert Carson","Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg",136
tt4154756,2018-04-25,"Christopher Markus, Stephen McFeely, Stan Lee, Jack Kirby, Joe Simon, Steve Englehart, Steve Gan, Bill Mantlo, Keith Giffen, Jim Starlin, Larry Lieber, Don Heck","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",149
tt5246700,2018-07-13,Brooks McLaren,"Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker",113
tt5690360,2018-08-09,"David Birke, Victor Surge","Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso",93
tt3799232,2018-05-11,"Vince Marcello, Beth Reekles","Joey King, Jacob Elordi, Joel Courtney, Megan du Plessis",105
tt7040874,2018-09-12,"Darcey Bell, Jessica Sharzer","Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",117
tt5164432,2018-03-16,"Becky Albertalli, Elizabeth Berger, Isaac Aptaker","Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford",110
tt4560436,2018-08-16,"Lea Carpenter, Graham Roland","Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich",94
tt1825683,2018-02-13,"Ryan Coogler, Joe Robert Cole, Stan Lee, Jack Kirby","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",134
tt2873282,2018-02-28,"Justin Haythe, Jason Matthews","Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling",140
tt5104604,2018-03-30,"Wes Anderson, Roman Coppola, Jason Schwartzman, Kunichi Nomura","Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban",101
tt2854926,2018-06-14,"Rob McKittrick, Mark Steilen, Russell Adams","Jeremy Renner, Ed Helms, Jake Johnson, Jon Hamm",100
tt7784604,2018-06-07,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff",127
tt6133466,2018-07-04,James DeMonaco,"Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris",98
tt4986098,2018-03-21,"Max Hurwitz, Arash Amel","Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn",97
tt6306064,2018-05-31,"Aaron Kandell, Jordan Kandell, David Branson Smith, Tami Ashcraft, Susea McGearhart","Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne",96
tt5164214,2018-06-07,"Gary Ross, Olivia Milch, George Clayton Johnson, Jack Golden Russell","Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling",110
tt6772950,2018-04-12,"Michael Reisz, Jillian Jacobs, Christopher Roach, Jeff Wadlow","Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto",100
tt4779682,2018-08-08,"Dean Georgaris, Jon Hoeber, Erich Hoeber, Steve Alten","Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",113
tt3778644,2018-05-23,"Jonathan Kasdan, Lawrence Kasdan, George Lucas","Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",135
tt4218572,2018-11-06,"Gillian Flynn, Steve McQueen, Lynda La Plante","Viola Davis, Michelle Rodriguez, Elizabeth Debicki",129
tt5057140,2018-09-28,"Macon Blair, William Giraldi","Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough",125
tt6911608,2018-07-18,"Ol Parker, Richard Curtis, Catherine Johnson, Judy Craymer, ABBA","Lily James, Amanda Seyfried, Meryl Streep, Cher",114
tt5463162,2018-05-15,"Rhett Reese, Paul Wernick, Ryan Reynolds, Rob Liefeld, Fabian Nicieza","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",119
tt3201640,2018-07-27,"Spenser Cohen, Brad Kane, Eric Heisserer","Michael Peña, Lizzy Caplan, Amelia Crouch, Erica Tremblay",95
tt4701182,2018-12-13,Christina Hodson,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",114
tt2704998,2018-02-15,Mark Perez,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",100
tt1308728,2018-08-22,"Todd Berger, Dee Austin Robertson","Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker",91
