,title,genres_x,production_budget,domestic_gross,worldwide_gross,ids
0,The Legend of Hercules,"Action,Adventure,Fantasy","$70,000,000","$18,848,538","$58,953,319",
1,Baggage Claim,Comedy,"$8,500,000","$21,569,509","$22,885,836",
2,Moneyball,"Biography,Drama,Sport","$50,000,000","$75,605,492","$111,300,835",tt1210166
3,Hereafter,"Drama,Fantasy,Romance","$50,000,000","$32,746,941","$108,660,270",tt1212419
4,21 Jump Street,"Action,Comedy,Crime","$42,000,000","$138,447,667","$202,812,429",tt1232829
5,Aloha,"Comedy,Drama,Romance","$37,000,000","$21,052,030","$25,387,091",
6,Sex and the City 2,"Comedy,Drama,Romance","$95,000,000","$95,347,692","$294,680,778",
7,Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller","$25,000,000","$24,046,682","$39,126,427",tt1270761
8,Small Apartments,"Comedy,Crime,Drama","$2,000,000",$0,$0,
9,Going the Distance,"Comedy,Romance","$32,000,000","$17,804,299","$43,603,990",
10,The Adventurer: The Curse of the Midas Box,"Adventure,Family,Fantasy","$25,000,000",$0,$0,
11,Remember Me,"Drama,Romance","$16,000,000","$19,068,240","$56,506,120",tt1403981
12,Horrible Bosses,"Comedy,Crime","$35,000,000","$117,538,559","$212,417,601",tt1499658
13,Captain Phillips,"Biography,Drama,Thriller","$55,000,000","$107,136,417","$220,648,184",tt1535109
14,Another Earth,"Drama,Romance,Sci-Fi","$175,000","$1,321,194","$2,102,779",
15,House at the End of the Street,"Drama,Horror,Thriller","$6,900,000","$31,611,916","$44,103,982",tt1582507
16,The Last Godfather,"Comedy,Crime,Romance","$13,400,000","$164,247","$164,247",
17,Zoolander 2,Comedy,"$50,000,000","$28,848,693","$55,348,693",
18,Chasing Mavericks,"Biography,Drama,Sport","$20,000,000","$6,002,756","$8,300,821",
19,Jumping the Broom,"Comedy,Drama","$7,000,000","$37,295,394","$38,158,601",
20,My Week with Marilyn,"Biography,Drama","$10,000,000","$14,597,405","$34,240,572",
21,Polisse,"Crime,Drama","$8,900,000","$176,988","$22,744,132",
22,The Revenant,"Action,Adventure,Biography","$135,000,000","$183,637,894","$532,938,302",
23,The Algerian,"Action,Romance,Thriller","$1,300,000",$0,$0,
24,The Spectacular Now,"Comedy,Drama,Romance","$2,500,000","$6,852,971","$6,916,951",
25,L!fe Happens,Comedy,"$930,000","$30,905","$30,905",
26,People Like Us,Drama,"$16,000,000","$12,431,792","$12,617,472",
27,Cirque du Soleil: Worlds Away,Fantasy,"$25,000,000","$12,512,862","$28,012,862",
28,Lottery Ticket,Comedy,"$17,000,000","$24,719,879","$24,719,879",
29,Machete,"Action,Crime,Thriller","$12,500,000","$26,593,646","$46,370,970",
30,The Little Prince,Action,"$77,500,000","$1,311,213","$102,028,919",
31,Genius,Drama,"$17,000,000","$1,361,045","$7,265,283",
